"created_at","screen_name","text"
2021-08-06 01:09:01,"cpnsna","https://t.co/VupsyA1oNW Semua kemenangan lain yang ingin Anda alami dalam kehidupan akan mengalir dari perubahan pola pikir Anda sendiri. (Denis Waitley)"
2021-08-06 14:34:36,"cpnsna","https://t.co/VupsyA1oNW Semua kemenangan lain yang ingin Anda alami dalam kehidupan akan mengalir dari perubahan pola pikir Anda sendiri. (Denis Waitley)"
2021-08-06 12:24:00,"cpnsna","https://t.co/VupsyA1oNW Tak ada suatu hal yang besar dapat dicapai bila tanpa kegairahan. (Raplh Waldo Emerson)"
2021-08-05 23:09:07,"cpnsna","https://t.co/VupsyA1oNW Tak ada suatu hal yang besar dapat dicapai bila tanpa kegairahan. (Raplh Waldo Emerson)"
2021-08-06 04:25:15,"cpnsna","https://t.co/VupsyA1oNW Api kesuksesan tidak membara begitu saja. Kita harus menyalakan apinya lebih dulu dalam diri kita (Reggie Leach)"
2021-08-06 08:34:48,"cpnsna","https://t.co/VupsyA1oNW Pemimpin yang sukses memiliki keberanian untuk mengambil tindakan, sementara yang lainnya ragu-ragu. (John C. Maxwell)"
2021-08-06 10:35:12,"cpnsna","https://t.co/VupsyA1oNW Sukses adalah menghasilkan buah sebanyak mungkin sesuai dengan karunia, kesempatan, dan potensi Anda. (Warren)"
2021-08-06 13:55:28,"ohnana45__","@janirubyjane Makasih banyak kak,semoga kamu lolos CPNS amin, sehat sehat selalu ya kak <U+0001F499> semoga kebaikan kakak dibalas dengan beribu kebaikan juga, diberikan Rizky yang melimpah kak dan banyak harapan tercapai aamin"
2021-08-06 14:34:34,"ohnana45__","Hai kak @janirubyjane <U+0001F499> terimakasih ya kak, ini kedua kalinya aku dapat dikakak, semoga kamu lolos CPNS ya kak, dan lancar terus rezekinya kamu ^_^ https://t.co/HpZXIqfB3o"
2021-08-06 14:33:43,"kakagemashhh","Besok maw bikin tato yang ga keliatan, biar bisa daftar cpns <U+0001F637><U+0001F637>"
2021-08-06 14:33:25,"FitriSentika","@qonitaist Kek tes cpns <U+2639>"
2021-08-06 14:31:51,"ingintahuajah","Tmn2 kantor pd ikut cpns trus pd lolos seleksi. Nanti kl pd masuk semua tinggal w sendiri dong dikantor."
2021-08-06 14:30:00,"atrbpn_pohuwato","Halo #SobATRBPN para pelamar CPNS Kementerian ATR/BPN. Kabar gembira untuk kita semua karena hasil seleksi administrasi dalam rangka penerimaan CPNS Kementerian ATR/BPN telah kami rilis loh.

Teriring selamat untuk para calon insan pertanahan yang dinyatakan lolos pada tahap ini. https://t.co/3MnkoMysOU"
2021-08-06 14:29:31,"ardianwputra_","Jurnal membayar hutang kerja:

Hutang Kerja
         Loyalitas

Loyalitas berkurang dong! <U+0001F602>
Saat nya ku belajar kisi"" cpns https://t.co/vv4qzGzzfs"
2021-08-06 14:29:07,"LFCNowID","Kementerian PANRB Pastikan Kelulusan Peserta CPNS Tak Berdasarkan Ranking Tertinggi - https://t.co/23XxgW9YpF"
2021-08-06 14:29:01,"LFCNowID","Cara Ikut Simulasi CAT CPNS BKN, Persiapan Ujian CPNS 2021 - https://t.co/nNuM7HgCg7"
2021-08-06 14:28:58,"LFCNowID","Cara Cek!! Sesuai Tanggal Hari Ini Akan Muncul Hasil Seleksi Administrasi CPNS 2021 - https://t.co/ne0DeHHAFT"
2021-08-05 23:18:20,"LFCNowID","BKN Ungkap Instansi CPNS 2021 yang Belum Ada Peminatnya - https://t.co/7CxlYcv4FV"
2021-08-05 23:18:31,"LFCNowID","Gaji Pegawai Lapas Cukup Menarik, Banyak Lowongan Formasi Sipir CPNS 2021 - https://t.co/Ludpx7YbPz"
2021-08-06 14:28:35,"Ips2Mandaku","Cara Cek!! Sesuai Tanggal Hari Ini Akan Muncul Hasil Seleksi Administrasi CPNS 2021 - https://t.co/oJr4BPcCun"
2021-08-06 14:28:46,"Ips2Mandaku","Kementerian PANRB Pastikan Kelulusan Peserta CPNS Tak Berdasarkan Ranking Tertinggi - https://t.co/ZBmLhyU9gA"
2021-08-06 14:28:38,"Ips2Mandaku","Cara Ikut Simulasi CAT CPNS BKN, Persiapan Ujian CPNS 2021 - https://t.co/w9k9S4ec3E"
2021-08-05 23:17:42,"Ips2Mandaku","BKN Ungkap Instansi CPNS 2021 yang Belum Ada Peminatnya - https://t.co/usKQUARl5B"
2021-08-05 23:17:57,"Ips2Mandaku","Gaji Pegawai Lapas Cukup Menarik, Banyak Lowongan Formasi Sipir CPNS 2021 - https://t.co/KpyIrhLeOE"
2021-08-06 14:28:21,"PPID_KomnasHAM","Halo Pejuang CPNS.. Hasil seleksi administrasi penerimaan CPNS Komnas HAM 2021 dapat diakses melalui https://t.co/VEq3vwpWNo #PPIDKomnasHAM #KomnasHAM #HakUntukTahu https://t.co/lO1jZeyT91"
2021-08-06 14:28:06,"dksooloist","mau buka privatter berasa tes cpns"
2021-08-06 10:51:26,"BpsdmProvSumut","Penyelenggaraan Kegiatan Pelatihan Dasar CPNS Gol. II dan Gol. III di BKPSDM Pemerintah Kabupaten Tapanuli Tengah bekerjasama dengan BPSDM Provsu Pada Agenda I materi: Sikap Perilaku Bela Negara (Umpan Balik/Pemaparan tugas) secara virtual zoom Tahun 2021.

Jumat, 06 Agustus 2021 https://t.co/WjElRE56Fs"
